#     lambda       flux     sys_error   FWHM   quality 
# A(Angstroms) erg/s/cm2/A  erg/s/cm2/A   A  1=ok,0=bad
   2085.6638   1.5850e+00   6.3400e-02   10.00   1.0000e+00
   2095.6658   2.2330e+00   8.9320e-02   10.00   1.0000e+00
   2105.6677   2.9165e+00   1.1666e-01   10.00   1.0000e+00
   2115.6697   3.5010e+00   1.4004e-01   10.00   1.0000e+00
   2125.6716   3.2705e+00   1.3082e-01   10.00   1.0000e+00
   2135.6736   3.4465e+00   1.3786e-01   10.00   1.0000e+00
   2145.6755   4.1725e+00   1.6690e-01   10.00   1.0000e+00
   2155.6777   3.7715e+00   1.5086e-01   10.00   1.0000e+00
   2165.6797   3.3635e+00   1.3454e-01   10.00   1.0000e+00
   2175.6816   3.6665e+00   1.4666e-01   10.00   1.0000e+00
   2185.6838   4.6215e+00   1.8486e-01   10.00   1.0000e+00
   2195.6858   4.8890e+00   1.9556e-01   10.00   1.0000e+00
   2205.6880   4.9330e+00   1.9732e-01   10.00   1.0000e+00
   2215.6899   4.1195e+00   1.6478e-01   10.00   1.0000e+00
   2225.6921   5.1570e+00   2.0628e-01   10.00   1.0000e+00
   2235.6943   6.5405e+00   2.6162e-01   10.00   1.0000e+00
   2245.6965   6.1255e+00   2.4502e-01   10.00   1.0000e+00
   2255.6985   5.4450e+00   2.1780e-01   10.00   1.0000e+00
   2265.7007   4.1100e+00   1.6440e-01   10.00   1.0000e+00
   2275.7029   4.1340e+00   1.6536e-01   10.00   1.0000e+00
   2285.7051   5.3965e+00   2.1586e-01   10.00   1.0000e+00
   2295.7073   4.9550e+00   1.9820e-01   10.00   1.0000e+00
   2305.7095   5.4160e+00   2.1664e-01   10.00   1.0000e+00
   2315.7117   5.2955e+00   2.1182e-01   10.00   1.0000e+00
   2325.7139   5.5275e+00   2.2110e-01   10.00   1.0000e+00
   2335.7161   4.6635e+00   1.8654e-01   10.00   1.0000e+00
   2345.7183   4.0555e+00   1.6222e-01   10.00   1.0000e+00
   2355.7205   5.3350e+00   2.1340e-01   10.00   1.0000e+00
   2365.7227   5.0550e+00   2.0220e-01   10.00   1.0000e+00
   2375.7251   5.0410e+00   2.0164e-01   10.00   1.0000e+00
   2385.7273   4.3610e+00   1.7444e-01   10.00   1.0000e+00
   2395.7295   4.5940e+00   1.8376e-01   10.00   1.0000e+00
   2405.7317   4.1095e+00   1.6438e-01   10.00   1.0000e+00
   2415.7341   5.3265e+00   2.1306e-01   10.00   1.0000e+00
   2425.7363   7.3245e+00   2.9298e-01   10.00   1.0000e+00
   2435.7385   6.9055e+00   2.7622e-01   10.00   1.0000e+00
   2445.7410   6.3400e+00   2.5360e-01   10.00   1.0000e+00
   2455.7432   5.1465e+00   2.0586e-01   10.00   1.0000e+00
   2465.7456   5.2450e+00   2.0980e-01   10.00   1.0000e+00
   2475.7478   5.7705e+00   2.3082e-01   10.00   1.0000e+00
   2485.7502   4.7485e+00   1.8994e-01   10.00   1.0000e+00
   2495.7524   5.8590e+00   2.3436e-01   10.00   1.0000e+00
   2505.7549   6.2665e+00   2.5066e-01   10.00   1.0000e+00
   2515.7571   4.8065e+00   1.9226e-01   10.00   1.0000e+00
   2525.7595   4.3185e+00   1.7274e-01   10.00   1.0000e+00
   2535.7617   5.3615e+00   2.1446e-01   10.00   1.0000e+00
   2545.7642   6.1960e+00   2.4784e-01   10.00   1.0000e+00
   2555.7666   8.2240e+00   3.2896e-01   10.00   1.0000e+00
   2565.7688   1.0550e+01   4.2200e-01   10.00   1.0000e+00
   2575.7712   1.3010e+01   5.2040e-01   10.00   1.0000e+00
   2585.7737   1.2980e+01   5.1920e-01   10.00   1.0000e+00
   2595.7759   1.0850e+01   4.3400e-01   10.00   1.0000e+00
   2605.7783   8.9155e+00   3.5662e-01   10.00   1.0000e+00
   2615.7808   9.3045e+00   3.7218e-01   10.00   1.0000e+00
   2625.7830   1.0800e+01   4.3200e-01   10.00   1.0000e+00
   2635.7854   1.6955e+01   6.7820e-01   10.00   1.0000e+00
   2645.7878   2.5910e+01   1.0364e+00   10.00   1.0000e+00
   2655.7903   2.6255e+01   1.0502e+00   10.00   1.0000e+00
   2665.7927   2.5895e+01   1.0358e+00   10.00   1.0000e+00
   2675.7949   2.6060e+01   1.0424e+00   10.00   1.0000e+00
   2685.7974   2.5335e+01   1.0134e+00   10.00   1.0000e+00
   2695.7998   2.4810e+01   9.9240e-01   10.00   1.0000e+00
   2705.8022   2.7760e+01   1.1104e+00   10.00   1.0000e+00
   2715.8047   2.3295e+01   9.3180e-01   10.00   1.0000e+00
   2725.8071   2.0485e+01   8.1940e-01   10.00   1.0000e+00
   2735.8096   2.0535e+01   8.2140e-01   10.00   1.0000e+00
   2745.8120   1.3815e+01   5.5260e-01   10.00   1.0000e+00
   2755.8145   1.8155e+01   7.2620e-01   10.00   1.0000e+00
   2765.8169   2.5205e+01   1.0082e+00   10.00   1.0000e+00
   2775.8191   2.4330e+01   9.7320e-01   10.00   1.0000e+00
   2785.8215   1.6540e+01   6.6160e-01   10.00   1.0000e+00
   2795.8240   9.0585e+00   3.6234e-01   10.00   1.0000e+00
   2805.8264   9.9785e+00   3.9914e-01   10.00   1.0000e+00
   2815.8289   2.1690e+01   8.6760e-01   10.00   1.0000e+00
   2825.8315   3.0475e+01   1.2190e+00   10.00   1.0000e+00
   2835.8340   3.2530e+01   1.3012e+00   10.00   1.0000e+00
   2845.8364   2.4475e+01   9.7900e-01   10.00   1.0000e+00
   2855.8389   1.6960e+01   6.7840e-01   10.00   1.0000e+00
   2865.8413   3.3340e+01   1.3336e+00   10.00   1.0000e+00
   2875.8438   3.4790e+01   1.3916e+00   10.00   1.0000e+00
   2885.8462   3.3290e+01   1.3316e+00   10.00   1.0000e+00
   2895.8486   4.8920e+01   1.9568e+00   10.00   1.0000e+00
   2905.8511   6.2255e+01   2.4902e+00   10.00   1.0000e+00
   2915.8535   6.0180e+01   2.4072e+00   10.00   1.0000e+00
   2925.8560   5.3950e+01   2.1580e+00   10.00   1.0000e+00
   2935.8586   5.5450e+01   2.2180e+00   10.00   1.0000e+00
   2945.8611   5.2680e+01   2.1072e+00   10.00   1.0000e+00
   2955.8635   5.7115e+01   2.2846e+00   10.00   1.0000e+00
   2965.8660   5.2580e+01   2.1032e+00   10.00   1.0000e+00
   2975.8684   5.2465e+01   2.0986e+00   10.00   1.0000e+00
   2985.8708   4.8200e+01   1.9280e+00   10.00   1.0000e+00
   2995.8735   5.0155e+01   2.0062e+00   10.00   1.0000e+00
   3005.8760   4.3615e+01   1.7446e+00   10.00   1.0000e+00
   3015.8784   4.7275e+01   1.8910e+00   10.00   1.0000e+00
   3025.8809   5.0690e+01   2.0276e+00   10.00   1.0000e+00
   3035.8833   6.4455e+01   2.5782e+00   10.00   1.0000e+00
   3045.8860   6.2550e+01   2.5020e+00   10.00   1.0000e+00
   3055.8884   6.1675e+01   2.4670e+00   10.00   1.0000e+00
   3065.8909   5.7705e+01   2.3082e+00   10.00   1.0000e+00
   3075.8933   6.3850e+01   2.5540e+00   10.00   1.0000e+00
   3085.8960   6.3510e+01   2.5404e+00   10.00   1.0000e+00
   3095.8984   5.1645e+01   2.0658e+00   10.00   1.0000e+00
   3105.9009   6.4820e+01   2.5928e+00   10.00   1.0000e+00
   3115.9036   7.5640e+01   3.0256e+00   10.00   1.0000e+00
   3125.9060   6.8080e+01   2.7232e+00   10.00   1.0000e+00
   3135.9084   7.2580e+01   2.9032e+00   10.00   1.0000e+00
   3145.9111   6.8815e+01   2.7526e+00   10.00   1.0000e+00
   3155.9136   6.5685e+01   2.6274e+00   10.00   1.0000e+00
   3165.9160   6.5600e+01   2.6240e+00   10.00   1.0000e+00
   3175.9185   8.0250e+01   3.2100e+00   10.00   1.0000e+00
   3185.9211   6.9035e+01   2.7614e+00   10.00   1.0000e+00
   3195.9236   7.3860e+01   2.9544e+00   10.00   1.0000e+00
   3205.9263   8.3490e+01   3.3396e+00   10.00   1.0000e+00
   3215.9287   7.2595e+01   2.9038e+00   10.00   1.0000e+00
   3225.9312   7.1450e+01   2.8580e+00   10.00   1.0000e+00
   3235.9338   6.8625e+01   2.7450e+00   10.00   1.0000e+00
