#     lambda       flux     sys_error   FWHM   quality 
# A(Angstroms) erg/s/cm2/A  erg/s/cm2/A   A  1=ok,0=bad
   5096.4199   1.9210e+02   7.6840e+00   10.00   1.0000e+00
   5106.4229   1.9520e+02   7.8080e+00   10.00   1.0000e+00
   5116.4253   2.0020e+02   8.0080e+00   10.00   1.0000e+00
   5126.4282   1.8720e+02   7.4880e+00   10.00   1.0000e+00
   5136.4307   1.8660e+02   7.4640e+00   10.00   1.0000e+00
   5146.4336   1.8790e+02   7.5160e+00   10.00   1.0000e+00
   5156.4360   1.9050e+02   7.6200e+00   10.00   1.0000e+00
   5166.4385   1.6730e+02   6.6920e+00   10.00   1.0000e+00
   5176.4414   1.7300e+02   6.9200e+00   10.00   1.0000e+00
   5186.4438   1.6580e+02   6.6320e+00   10.00   1.0000e+00
   5196.4468   1.8330e+02   7.3320e+00   10.00   1.0000e+00
   5206.4492   1.8360e+02   7.3440e+00   10.00   1.0000e+00
   5216.4521   1.9110e+02   7.6440e+00   10.00   1.0000e+00
   5226.4546   1.8280e+02   7.3120e+00   10.00   1.0000e+00
   5236.4575   1.8990e+02   7.5960e+00   10.00   1.0000e+00
   5246.4600   1.9630e+02   7.8520e+00   10.00   1.0000e+00
   5256.4629   1.9350e+02   7.7400e+00   10.00   1.0000e+00
   5266.4653   1.6780e+02   6.7120e+00   10.00   1.0000e+00
   5276.4678   1.8330e+02   7.3320e+00   10.00   1.0000e+00
   5286.4707   1.9020e+02   7.6080e+00   10.00   1.0000e+00
   5296.4731   1.9230e+02   7.6920e+00   10.00   1.0000e+00
   5306.4761   1.9570e+02   7.8280e+00   10.00   1.0000e+00
   5316.4785   1.9680e+02   7.8720e+00   10.00   1.0000e+00
   5326.4814   1.7750e+02   7.1000e+00   10.00   1.0000e+00
   5336.4839   1.9280e+02   7.7120e+00   10.00   1.0000e+00
   5346.4868   1.8630e+02   7.4520e+00   10.00   1.0000e+00
   5356.4893   1.9950e+02   7.9800e+00   10.00   1.0000e+00
   5366.4922   1.8760e+02   7.5040e+00   10.00   1.0000e+00
   5376.4946   1.8870e+02   7.5480e+00   10.00   1.0000e+00
   5386.4976   1.9090e+02   7.6360e+00   10.00   1.0000e+00
   5396.5000   1.8370e+02   7.3480e+00   10.00   1.0000e+00
   5406.5024   1.7740e+02   7.0960e+00   10.00   1.0000e+00
   5416.5054   1.8860e+02   7.5440e+00   10.00   1.0000e+00
   5426.5078   1.8300e+02   7.3200e+00   10.00   1.0000e+00
   5436.5107   1.8840e+02   7.5360e+00   10.00   1.0000e+00
   5446.5132   1.8840e+02   7.5360e+00   10.00   1.0000e+00
   5456.5161   1.9060e+02   7.6240e+00   10.00   1.0000e+00
   5466.5186   1.8840e+02   7.5360e+00   10.00   1.0000e+00
   5476.5215   1.8380e+02   7.3520e+00   10.00   1.0000e+00
   5486.5239   1.8680e+02   7.4720e+00   10.00   1.0000e+00
   5496.5269   1.9000e+02   7.6000e+00   10.00   1.0000e+00
   5506.5293   1.8670e+02   7.4680e+00   10.00   1.0000e+00
   5516.5322   1.8760e+02   7.5040e+00   10.00   1.0000e+00
   5526.5347   1.8510e+02   7.4040e+00   10.00   1.0000e+00
   5536.5376   1.8870e+02   7.5480e+00   10.00   1.0000e+00
   5546.5400   1.9030e+02   7.6120e+00   10.00   1.0000e+00
   5556.5430   1.9020e+02   7.6080e+00   10.00   1.0000e+00
   5566.5454   1.8260e+02   7.3040e+00   10.00   1.0000e+00
   5576.5479   1.8510e+02   7.4040e+00   10.00   1.0000e+00
   5586.5508   1.7920e+02   7.1680e+00   10.00   1.0000e+00
   5596.5532   1.8130e+02   7.2520e+00   10.00   1.0000e+00
   5606.5562   1.8480e+02   7.3920e+00   10.00   1.0000e+00
   5616.5586   1.8290e+02   7.3160e+00   10.00   1.0000e+00
   5626.5615   1.8550e+02   7.4200e+00   10.00   1.0000e+00
   5636.5640   1.8660e+02   7.4640e+00   10.00   1.0000e+00
   5646.5669   1.8590e+02   7.4360e+00   10.00   1.0000e+00
   5656.5693   1.8030e+02   7.2120e+00   10.00   1.0000e+00
   5666.5723   1.8340e+02   7.3360e+00   10.00   1.0000e+00
   5676.5747   1.8920e+02   7.5680e+00   10.00   1.0000e+00
   5686.5776   1.8150e+02   7.2600e+00   10.00   1.0000e+00
   5696.5801   1.8650e+02   7.4600e+00   10.00   1.0000e+00
   5706.5830   1.7740e+02   7.0960e+00   10.00   1.0000e+00
   5716.5854   1.8280e+02   7.3120e+00   10.00   1.0000e+00
   5726.5884   1.8970e+02   7.5880e+00   10.00   1.0000e+00
   5736.5908   1.8810e+02   7.5240e+00   10.00   1.0000e+00
   5746.5938   1.8720e+02   7.4880e+00   10.00   1.0000e+00
   5756.5962   1.8350e+02   7.3400e+00   10.00   1.0000e+00
   5766.5991   1.8510e+02   7.4040e+00   10.00   1.0000e+00
   5776.6016   1.8620e+02   7.4480e+00   10.00   1.0000e+00
   5786.6040   1.7880e+02   7.1520e+00   10.00   1.0000e+00
   5796.6069   1.8330e+02   7.3320e+00   10.00   1.0000e+00
   5806.6094   1.8430e+02   7.3720e+00   10.00   1.0000e+00
   5816.6123   1.8580e+02   7.4320e+00   10.00   1.0000e+00
   5826.6147   1.8780e+02   7.5120e+00   10.00   1.0000e+00
   5836.6177   1.8620e+02   7.4480e+00   10.00   1.0000e+00
   5846.6201   1.8650e+02   7.4600e+00   10.00   1.0000e+00
   5856.6230   1.7880e+02   7.1520e+00   10.00   1.0000e+00
   5866.6255   1.8350e+02   7.3400e+00   10.00   1.0000e+00
   5876.6284   1.8530e+02   7.4120e+00   10.00   1.0000e+00
   5886.6309   1.7540e+02   7.0160e+00   10.00   1.0000e+00
   5896.6338   1.6160e+02   6.4640e+00   10.00   1.0000e+00
   5906.6362   1.8180e+02   7.2720e+00   10.00   1.0000e+00
   5916.6392   1.7920e+02   7.1680e+00   10.00   1.0000e+00
   5926.6416   1.8130e+02   7.2520e+00   10.00   1.0000e+00
   5936.6445   1.8010e+02   7.2040e+00   10.00   1.0000e+00
   5946.6470   1.7780e+02   7.1120e+00   10.00   1.0000e+00
   5956.6499   1.7870e+02   7.1480e+00   10.00   1.0000e+00
   5966.6523   1.8100e+02   7.2400e+00   10.00   1.0000e+00
   5976.6553   1.7850e+02   7.1400e+00   10.00   1.0000e+00
   5986.6577   1.7620e+02   7.0480e+00   10.00   1.0000e+00
   5996.6606   1.7790e+02   7.1160e+00   10.00   1.0000e+00
   6006.6631   1.7500e+02   7.0000e+00   10.00   1.0000e+00
   6016.6660   1.7550e+02   7.0200e+00   10.00   1.0000e+00
   6026.6685   1.7230e+02   6.8920e+00   10.00   1.0000e+00
   6036.6714   1.7920e+02   7.1680e+00   10.00   1.0000e+00
   6046.6738   1.7810e+02   7.1240e+00   10.00   1.0000e+00
   6056.6768   1.7680e+02   7.0720e+00   10.00   1.0000e+00
   6066.6792   1.7640e+02   7.0560e+00   10.00   1.0000e+00
   6076.6821   1.7620e+02   7.0480e+00   10.00   1.0000e+00
   6086.6846   1.7470e+02   6.9880e+00   10.00   1.0000e+00
   6096.6875   1.7480e+02   6.9920e+00   10.00   1.0000e+00
   6106.6899   1.7070e+02   6.8280e+00   10.00   1.0000e+00
   6116.6929   1.7500e+02   7.0000e+00   10.00   1.0000e+00
   6126.6953   1.7090e+02   6.8360e+00   10.00   1.0000e+00
   6136.6982   1.6870e+02   6.7480e+00   10.00   1.0000e+00
   6146.7007   1.7170e+02   6.8680e+00   10.00   1.0000e+00
   6156.7036   1.7170e+02   6.8680e+00   10.00   1.0000e+00
   6166.7061   1.6130e+02   6.4520e+00   10.00   1.0000e+00
   6176.7090   1.7110e+02   6.8440e+00   10.00   1.0000e+00
   6186.7114   1.7280e+02   6.9120e+00   10.00   1.0000e+00
   6196.7144   1.7110e+02   6.8440e+00   10.00   1.0000e+00
   6206.7168   1.7380e+02   6.9520e+00   10.00   1.0000e+00
   6216.7192   1.6940e+02   6.7760e+00   10.00   1.0000e+00
   6226.7222   1.7170e+02   6.8680e+00   10.00   1.0000e+00
   6236.7246   1.6700e+02   6.6800e+00   10.00   1.0000e+00
   6246.7275   1.6600e+02   6.6400e+00   10.00   1.0000e+00
   6256.7300   1.6360e+02   6.5440e+00   10.00   1.0000e+00
   6266.7329   1.7010e+02   6.8040e+00   10.00   1.0000e+00
   6276.7354   1.7010e+02   6.8040e+00   10.00   1.0000e+00
   6286.7383   1.7010e+02   6.8040e+00   10.00   1.0000e+00
   6296.7407   1.6810e+02   6.7240e+00   10.00   1.0000e+00
   6311.7451   1.6430e+02   6.5720e+00   10.00   1.0000e+00
   6331.7505   1.6550e+02   6.6200e+00   10.00   1.0000e+00
   6351.7559   1.6600e+02   6.6400e+00   10.00   1.0000e+00
   6371.7612   1.6580e+02   6.6320e+00   10.00   1.0000e+00
   6391.7666   1.6550e+02   6.6200e+00   10.00   1.0000e+00
   6411.7720   1.6180e+02   6.4720e+00   10.00   1.0000e+00
   6431.7773   1.6250e+02   6.5000e+00   10.00   1.0000e+00
   6451.7827   1.6310e+02   6.5240e+00   10.00   1.0000e+00
   6471.7881   1.6070e+02   6.4280e+00   10.00   1.0000e+00
   6491.7935   1.5620e+02   6.2480e+00   10.00   1.0000e+00
   6511.7988   1.6100e+02   6.4400e+00   10.00   1.0000e+00
   6531.8042   1.6030e+02   6.4120e+00   10.00   1.0000e+00
   6551.8096   1.5360e+02   6.1440e+00   10.00   1.0000e+00
   6571.8149   1.3880e+02   5.5520e+00   10.00   1.0000e+00
   6591.8203   1.5530e+02   6.2120e+00   10.00   1.0000e+00
   6611.8257   1.5750e+02   6.3000e+00   10.00   1.0000e+00
   6631.8311   1.5590e+02   6.2360e+00   10.00   1.0000e+00
   6651.8364   1.5640e+02   6.2560e+00   10.00   1.0000e+00
   6671.8418   1.5390e+02   6.1560e+00   10.00   1.0000e+00
   6691.8472   1.5500e+02   6.2000e+00   10.00   1.0000e+00
   6711.8525   1.5200e+02   6.0800e+00   10.00   1.0000e+00
   6731.8579   1.5250e+02   6.1000e+00   10.00   1.0000e+00
   6751.8633   1.5140e+02   6.0560e+00   10.00   1.0000e+00
   6771.8687   1.5120e+02   6.0480e+00   10.00   1.0000e+00
   6791.8740   1.5020e+02   6.0080e+00   10.00   1.0000e+00
   6811.8794   1.4960e+02   5.9840e+00   10.00   1.0000e+00
   6831.8848   1.4830e+02   5.9320e+00   10.00   1.0000e+00
   6851.8901   1.4590e+02   5.8360e+00   10.00   1.0000e+00
   6871.8955   1.4710e+02   5.8840e+00   10.00   1.0000e+00
   6891.9009   1.4650e+02   5.8600e+00   10.00   1.0000e+00
   6911.9062   1.4520e+02   5.8080e+00   10.00   1.0000e+00
   6931.9116   1.4520e+02   5.8080e+00   10.00   1.0000e+00
   6951.9170   1.4400e+02   5.7600e+00   10.00   1.0000e+00
   6971.9224   1.4200e+02   5.6800e+00   10.00   1.0000e+00
   6991.9277   1.4290e+02   5.7160e+00   10.00   1.0000e+00
   7011.9331   1.3900e+02   5.5600e+00   10.00   1.0000e+00
   7031.9385   1.3920e+02   5.5680e+00   10.00   1.0000e+00
   7051.9438   1.4190e+02   5.6760e+00   10.00   1.0000e+00
   7071.9492   1.4040e+02   5.6160e+00   10.00   1.0000e+00
   7091.9546   1.3880e+02   5.5520e+00   10.00   1.0000e+00
   7111.9600   1.3890e+02   5.5560e+00   10.00   1.0000e+00
   7131.9653   1.3770e+02   5.5080e+00   10.00   1.0000e+00
   7151.9707   1.3700e+02   5.4800e+00   10.00   1.0000e+00
   7171.9766   1.3570e+02   5.4280e+00   10.00   1.0000e+00
   7191.9819   1.3310e+02   5.3240e+00   10.00   1.0000e+00
   7211.9873   1.3340e+02   5.3360e+00   10.00   1.0000e+00
   7231.9927   1.3510e+02   5.4040e+00   10.00   1.0000e+00
   7251.9980   1.3530e+02   5.4120e+00   10.00   1.0000e+00
   7272.0034   1.3490e+02   5.3960e+00   10.00   1.0000e+00
   7292.0088   1.3220e+02   5.2880e+00   10.00   1.0000e+00
   7312.0142   1.3290e+02   5.3160e+00   10.00   1.0000e+00
   7332.0195   1.3210e+02   5.2840e+00   10.00   1.0000e+00
   7352.0249   1.3120e+02   5.2480e+00   10.00   1.0000e+00
   7372.0303   1.3100e+02   5.2400e+00   10.00   1.0000e+00
   7392.0356   1.2810e+02   5.1240e+00   10.00   1.0000e+00
   7412.0410   1.2610e+02   5.0440e+00   10.00   1.0000e+00
   7432.0464   1.2890e+02   5.1560e+00   10.00   1.0000e+00
   7452.0518   1.2820e+02   5.1280e+00   10.00   1.0000e+00
   7472.0571   1.2860e+02   5.1440e+00   10.00   1.0000e+00
   7492.0625   1.2730e+02   5.0920e+00   10.00   1.0000e+00
   7512.0679   1.2650e+02   5.0600e+00   10.00   1.0000e+00
   7532.0732   1.2620e+02   5.0480e+00   10.00   1.0000e+00
   7552.0786   1.2580e+02   5.0320e+00   10.00   1.0000e+00
   7572.0840   1.2510e+02   5.0040e+00   10.00   1.0000e+00
   7592.0894   1.2430e+02   4.9720e+00   10.00   1.0000e+00
   7612.0947   1.2400e+02   4.9600e+00   10.00   1.0000e+00
   7632.1006   1.2440e+02   4.9760e+00   10.00   1.0000e+00
   7652.1060   1.2240e+02   4.8960e+00   10.00   1.0000e+00
   7672.1113   1.1880e+02   4.7520e+00   10.00   1.0000e+00
   7692.1167   1.2060e+02   4.8240e+00   10.00   1.0000e+00
   7712.1221   1.2070e+02   4.8280e+00   10.00   1.0000e+00
   7732.1274   1.2110e+02   4.8440e+00   10.00   1.0000e+00
   7752.1328   1.1910e+02   4.7640e+00   10.00   1.0000e+00
   7772.1382   1.1990e+02   4.7960e+00   10.00   1.0000e+00
   7792.1436   1.1900e+02   4.7600e+00   10.00   1.0000e+00
   7812.1489   1.1900e+02   4.7600e+00   10.00   1.0000e+00
   7832.1543   1.1790e+02   4.7160e+00   10.00   1.0000e+00
   7852.1597   1.1830e+02   4.7320e+00   10.00   1.0000e+00
   7872.1650   1.1800e+02   4.7200e+00   10.00   1.0000e+00
   7892.1704   1.1770e+02   4.7080e+00   10.00   1.0000e+00
   7912.1758   1.1610e+02   4.6440e+00   10.00   1.0000e+00
   7932.1812   1.1460e+02   4.5840e+00   10.00   1.0000e+00
   7952.1865   1.1370e+02   4.5480e+00   10.00   1.0000e+00
   7972.1924   1.1550e+02   4.6200e+00   10.00   1.0000e+00
   7992.1978   1.1380e+02   4.5520e+00   10.00   1.0000e+00
   8012.2031   1.1450e+02   4.5800e+00   10.00   1.0000e+00
   8032.2085   1.1320e+02   4.5280e+00   10.00   1.0000e+00
   8052.2139   1.1180e+02   4.4720e+00   10.00   1.0000e+00
   8072.2192   1.1230e+02   4.4920e+00   10.00   1.0000e+00
   8092.2246   1.0980e+02   4.3920e+00   10.00   1.0000e+00
   8112.2300   1.1170e+02   4.4680e+00   10.00   1.0000e+00
   8132.2354   1.1180e+02   4.4720e+00   10.00   1.0000e+00
   8152.2407   1.1100e+02   4.4400e+00   10.00   1.0000e+00
   8172.2461   1.1070e+02   4.4280e+00   10.00   1.0000e+00
   8192.2520   1.0660e+02   4.2640e+00   10.00   1.0000e+00
   8212.2568   1.0830e+02   4.3320e+00   10.00   1.0000e+00
   8232.2627   1.0760e+02   4.3040e+00   10.00   1.0000e+00
   8252.2676   1.0780e+02   4.3120e+00   10.00   1.0000e+00
   8272.2734   1.0790e+02   4.3160e+00   10.00   1.0000e+00
   8292.2783   1.0750e+02   4.3000e+00   10.00   1.0000e+00
   8312.2842   1.0700e+02   4.2800e+00   10.00   1.0000e+00
   8332.2891   1.0350e+02   4.1400e+00   10.00   1.0000e+00
   8352.2949   1.0540e+02   4.2160e+00   10.00   1.0000e+00
   8372.2998   1.0530e+02   4.2120e+00   10.00   1.0000e+00
   8392.3057   1.0430e+02   4.1720e+00   10.00   1.0000e+00
   8412.3115   1.0460e+02   4.1840e+00   10.00   1.0000e+00
   8432.3164   1.0290e+02   4.1160e+00   10.00   1.0000e+00
   8452.3223   1.0340e+02   4.1360e+00   10.00   1.0000e+00
   8472.3271   1.0260e+02   4.1040e+00   10.00   1.0000e+00
   8492.3330   9.7200e+01   3.8880e+00   10.00   1.0000e+00
   8512.3379   1.0040e+02   4.0160e+00   10.00   1.0000e+00
   8532.3438   9.7400e+01   3.8960e+00   10.00   1.0000e+00
   8552.3486   8.7800e+01   3.5120e+00   10.00   1.0000e+00
   8572.3545   1.0120e+02   4.0480e+00   10.00   1.0000e+00
   8592.3594   9.9800e+01   3.9920e+00   10.00   1.0000e+00
   8612.3652   9.9800e+01   3.9920e+00   10.00   1.0000e+00
   8632.3701   1.0000e+02   4.0000e+00   10.00   1.0000e+00
   8652.3760   9.7100e+01   3.8840e+00   10.00   1.0000e+00
   8672.3818   8.8100e+01   3.5240e+00   10.00   1.0000e+00
   8692.3867   9.6800e+01   3.8720e+00   10.00   1.0000e+00
   8702.3896   9.6000e+01   3.8400e+00   20.00   1.0000e+00
   8722.3945   9.5300e+01   3.8120e+00   20.00   1.0000e+00
   8742.4004   9.5600e+01   3.8240e+00   20.00   1.0000e+00
   8762.4053   9.5800e+01   3.8320e+00   20.00   1.0000e+00
   8782.4111   9.3400e+01   3.7360e+00   20.00   1.0000e+00
   8802.4170   9.3500e+01   3.7400e+00   20.00   1.0000e+00
   8822.4219   9.2300e+01   3.6920e+00   20.00   1.0000e+00
   8842.4277   9.3700e+01   3.7480e+00   20.00   1.0000e+00
   8862.4326   9.2200e+01   3.6880e+00   20.00   1.0000e+00
   8882.4385   9.2400e+01   3.6960e+00   20.00   1.0000e+00
   8902.4434   9.2000e+01   3.6800e+00   20.00   1.0000e+00
   8922.4492   9.1100e+01   3.6440e+00   20.00   1.0000e+00
   8942.4541   9.1400e+01   3.6560e+00   20.00   1.0000e+00
   8962.4600   9.1900e+01   3.6760e+00   20.00   1.0000e+00
   8982.4648   8.9400e+01   3.5760e+00   20.00   1.0000e+00
   9002.4707   8.8900e+01   3.5560e+00   20.00   1.0000e+00
   9022.4756   8.9100e+01   3.5640e+00   20.00   1.0000e+00
   9042.4814   8.8100e+01   3.5240e+00   20.00   1.0000e+00
   9062.4873   8.8100e+01   3.5240e+00   20.00   1.0000e+00
   9082.4922   8.5400e+01   3.4160e+00   20.00   1.0000e+00
   9102.4980   8.6500e+01   3.4600e+00   20.00   1.0000e+00
   9122.5029   8.7300e+01   3.4920e+00   20.00   1.0000e+00
   9142.5088   8.6500e+01   3.4600e+00   20.00   1.0000e+00
   9162.5137   8.6000e+01   3.4400e+00   20.00   1.0000e+00
   9182.5195   8.6100e+01   3.4440e+00   20.00   1.0000e+00
   9202.5244   8.3500e+01   3.3400e+00   20.00   1.0000e+00
   9222.5303   8.2800e+01   3.3120e+00   20.00   1.0000e+00
   9242.5352   8.3400e+01   3.3360e+00   20.00   1.0000e+00
   9262.5410   8.3900e+01   3.3560e+00   20.00   1.0000e+00
   9282.5469   8.4500e+01   3.3800e+00   20.00   1.0000e+00
   9302.5518   8.4000e+01   3.3600e+00   20.00   1.0000e+00
   9322.5576   8.4800e+01   3.3920e+00   20.00   1.0000e+00
   9342.5625   8.3500e+01   3.3400e+00   20.00   1.0000e+00
   9362.5684   8.2000e+01   3.2800e+00   20.00   1.0000e+00
   9382.5732   8.2800e+01   3.3120e+00   20.00   1.0000e+00
   9402.5791   8.2100e+01   3.2840e+00   20.00   1.0000e+00
   9422.5840   8.0600e+01   3.2240e+00   20.00   1.0000e+00
   9442.5898   8.2200e+01   3.2880e+00   20.00   1.0000e+00
   9462.5947   8.1700e+01   3.2680e+00   20.00   1.0000e+00
   9482.6006   8.0100e+01   3.2040e+00   20.00   1.0000e+00
   9502.6064   8.0300e+01   3.2120e+00   20.00   1.0000e+00
   9522.6113   7.9600e+01   3.1840e+00   20.00   1.0000e+00
   9542.6172   7.8500e+01   3.1400e+00   20.00   1.0000e+00
   9562.6221   7.9900e+01   3.1960e+00   20.00   1.0000e+00
   9582.6279   7.9600e+01   3.1840e+00   20.00   1.0000e+00
   9602.6328   7.8800e+01   3.1520e+00   20.00   1.0000e+00
   9622.6387   7.8389e+01   3.1356e+00   20.00   1.0000e+00
   9642.6436   7.8179e+01   3.1272e+00   20.00   1.0000e+00
   9662.6494   7.7173e+01   3.0869e+00   20.00   1.0000e+00
   9682.6543   7.7626e+01   3.1050e+00   20.00   1.0000e+00
   9702.6602   7.7208e+01   3.0883e+00   20.00   1.0000e+00
   9722.6660   7.7650e+01   3.1060e+00   20.00   1.0000e+00
   9742.6709   7.5861e+01   3.0344e+00   20.00   1.0000e+00
   9762.6768   7.6495e+01   3.0598e+00   20.00   1.0000e+00
   9782.6816   7.6064e+01   3.0425e+00   20.00   1.0000e+00
   9802.6875   7.5690e+01   3.0276e+00   20.00   1.0000e+00
   9822.6924   7.5963e+01   3.0385e+00   20.00   1.0000e+00
   9842.6982   7.5369e+01   3.0148e+00   20.00   1.0000e+00
   9862.7031   7.5004e+01   3.0002e+00   20.00   1.0000e+00
   9882.7090   7.4735e+01   2.9894e+00   20.00   1.0000e+00
   9902.7148   7.3632e+01   2.9453e+00   20.00   1.0000e+00
   9922.7197   7.4305e+01   2.9722e+00   20.00   1.0000e+00
   9942.7256   7.4201e+01   2.9680e+00   20.00   1.0000e+00
   9962.7305   7.3793e+01   2.9517e+00   20.00   1.0000e+00
   9982.7363   7.3571e+01   2.9428e+00   20.00   1.0000e+00
  10002.7412   7.3238e+01   2.9295e+00   20.00   1.0000e+00
  10022.7471   7.3007e+01   2.9203e+00   20.00   1.0000e+00
  10042.7520   7.1388e+01   2.8555e+00   20.00   1.0000e+00
  10062.7578   6.8994e+01   2.7598e+00   20.00   1.0000e+00
  10082.7627   7.1877e+01   2.8751e+00   20.00   1.0000e+00
  10102.7686   7.1765e+01   2.8706e+00   20.00   1.0000e+00
  10122.7744   7.1373e+01   2.8549e+00   20.00   1.0000e+00
  10142.7793   7.0706e+01   2.8282e+00   20.00   1.0000e+00
  10162.7852   7.0126e+01   2.8050e+00   20.00   1.0000e+00
  10182.7900   6.9876e+01   2.7950e+00   20.00   1.0000e+00
  10202.7959   6.9510e+01   2.7804e+00   20.00   1.0000e+00
  10222.8008   6.9163e+01   2.7665e+00   20.00   1.0000e+00
  10242.8066   6.9816e+01   2.7926e+00   20.00   1.0000e+00
  10262.8115   6.9549e+01   2.7820e+00   20.00   1.0000e+00
  10282.8174   6.9460e+01   2.7784e+00   20.00   1.0000e+00
  10302.8232   6.8424e+01   2.7370e+00   20.00   1.0000e+00
  10322.8281   6.8639e+01   2.7456e+00   20.00   1.0000e+00
  10342.8340   6.6834e+01   2.6733e+00   20.00   1.0000e+00
  10362.8389   6.7944e+01   2.7177e+00   20.00   1.0000e+00
  10382.8447   6.6947e+01   2.6779e+00   20.00   1.0000e+00
  10402.8496   6.6838e+01   2.6735e+00   20.00   1.0000e+00
  10422.8555   6.6829e+01   2.6732e+00   20.00   1.0000e+00
  10442.8604   6.7022e+01   2.6809e+00   20.00   1.0000e+00
  10462.8662   6.5490e+01   2.6196e+00   20.00   1.0000e+00
  10482.8721   6.5921e+01   2.6368e+00   20.00   1.0000e+00
  10502.8770   6.6036e+01   2.6414e+00   20.00   1.0000e+00
  10522.8828   6.5724e+01   2.6290e+00   20.00   1.0000e+00
  10542.8877   6.5118e+01   2.6047e+00   20.00   1.0000e+00
  10562.8936   6.5397e+01   2.6159e+00   20.00   1.0000e+00
  10582.8984   6.3704e+01   2.5482e+00   20.00   1.0000e+00
  10602.9043   6.3856e+01   2.5542e+00   20.00   1.0000e+00
  10622.9092   6.4456e+01   2.5782e+00   20.00   1.0000e+00
  10642.9150   6.3762e+01   2.5505e+00   20.00   1.0000e+00
  10662.9209   6.3093e+01   2.5237e+00   20.00   1.0000e+00
  10682.9258   6.2505e+01   2.5002e+00   20.00   1.0000e+00
  10702.9316   6.1494e+01   2.4598e+00   20.00   1.0000e+00
  10722.9365   6.2414e+01   2.4965e+00   20.00   1.0000e+00
  10742.9424   6.1498e+01   2.4599e+00   20.00   1.0000e+00
  10762.9473   6.1425e+01   2.4570e+00   20.00   1.0000e+00
  10782.9531   6.1019e+01   2.4408e+00   20.00   1.0000e+00
  10802.9580   6.2053e+01   2.4821e+00   20.00   1.0000e+00
  10822.9639   5.9185e+01   2.3674e+00   20.00   1.0000e+00
  10842.9697   5.9995e+01   2.3998e+00   20.00   1.0000e+00
  10862.9746   6.1089e+01   2.4436e+00   20.00   1.0000e+00
  10882.9805   5.8120e+01   2.3248e+00   20.00   1.0000e+00
  10902.9854   6.0287e+01   2.4115e+00   20.00   1.0000e+00
  10922.9912   5.9631e+01   2.3852e+00   20.00   1.0000e+00
  10942.9961   5.5918e+01   2.2367e+00   20.00   1.0000e+00
  10963.0020   5.7406e+01   2.2963e+00   20.00   1.0000e+00
  10983.0068   5.7287e+01   2.2915e+00   20.00   1.0000e+00
  11003.0127   5.8664e+01   2.3466e+00   20.00   1.0000e+00
  11023.0186   5.7378e+01   2.2951e+00   20.00   1.0000e+00
  11043.0234   5.8035e+01   2.3214e+00   20.00   1.0000e+00
  11063.0293   5.7942e+01   2.3177e+00   20.00   1.0000e+00
  11083.0342   5.7657e+01   2.3063e+00   20.00   1.0000e+00
  11103.0400   5.7640e+01   2.3056e+00   20.00   1.0000e+00
  11123.0449   5.6800e+01   2.2720e+00   20.00   1.0000e+00
  11143.0508   5.6862e+01   2.2745e+00   20.00   1.0000e+00
  11163.0557   5.6932e+01   2.2773e+00   20.00   1.0000e+00
  11183.0615   5.6697e+01   2.2679e+00   20.00   1.0000e+00
  11203.0674   5.5525e+01   2.2210e+00   20.00   1.0000e+00
  11223.0723   5.6434e+01   2.2574e+00   20.00   1.0000e+00
  11243.0781   5.6097e+01   2.2439e+00   20.00   1.0000e+00
  11263.0830   5.4657e+01   2.1863e+00   20.00   1.0000e+00
  11283.0889   5.5412e+01   2.2165e+00   20.00   1.0000e+00
  11303.0938   5.4578e+01   2.1831e+00   20.00   1.0000e+00
  11323.0996   5.4915e+01   2.1966e+00   20.00   1.0000e+00
  11343.1045   5.4533e+01   2.1813e+00   20.00   1.0000e+00
  11363.1104   5.4929e+01   2.1972e+00   20.00   1.0000e+00
  11383.1162   5.3727e+01   2.1491e+00   20.00   1.0000e+00
  11403.1211   5.3259e+01   2.1303e+00   20.00   1.0000e+00
  11423.1270   5.3495e+01   2.1398e+00   20.00   1.0000e+00
  11443.1318   5.3430e+01   2.1372e+00   20.00   1.0000e+00
  11463.1377   5.4137e+01   2.1655e+00   20.00   1.0000e+00
  11483.1426   5.3712e+01   2.1485e+00   20.00   1.0000e+00
  11503.1484   5.3541e+01   2.1416e+00   20.00   1.0000e+00
  11523.1533   5.3238e+01   2.1295e+00   20.00   1.0000e+00
  11543.1592   5.3446e+01   2.1378e+00   20.00   1.0000e+00
  11563.1650   5.2957e+01   2.1183e+00   20.00   1.0000e+00
  11583.1699   5.2855e+01   2.1142e+00   20.00   1.0000e+00
  11603.1758   5.1662e+01   2.0665e+00   20.00   1.0000e+00
  11623.1807   5.0985e+01   2.0394e+00   20.00   1.0000e+00
  11643.1865   5.1508e+01   2.0603e+00   20.00   1.0000e+00
  11663.1914   5.1499e+01   2.0600e+00   20.00   1.0000e+00
  11683.1973   5.1696e+01   2.0678e+00   20.00   1.0000e+00
  11703.2021   5.0842e+01   2.0337e+00   20.00   1.0000e+00
  11723.2080   5.1556e+01   2.0622e+00   20.00   1.0000e+00
  11743.2139   5.1483e+01   2.0593e+00   20.00   1.0000e+00
  11763.2188   5.0051e+01   2.0021e+00   20.00   1.0000e+00
  11783.2246   4.9759e+01   1.9904e+00   20.00   1.0000e+00
  11803.2295   5.0971e+01   2.0388e+00   20.00   1.0000e+00
  11823.2354   5.0245e+01   2.0098e+00   20.00   1.0000e+00
